1.Basin.Name;2.Country;3.Ecoregion;4.Endorheic.Status;5.Outlet.Longitude;6.Outlet.Latitude;7.Median.Longitude;8.Median.Latitude;9.Surface.Area
Sehnkwehn.River;Liberia;Afrotropic;;-9.336302892;5.201903319;-8.807476612;5.654588063;5787.119394
Ivondro;Madagascar;Afrotropic;;49.409027;-18.167085;48.85929043;-18.13698012;3626.718906
Kwa.Ibo;Nigeria;Afrotropic;;8.020071409;4.552560444;7.755328777;4.984679321;3791.073466
Dibamba;Cameroon;Afrotropic;;9.735010134;3.866701012;10.0825465;4.11342484;3485.329312
Calabar.River;Nigeria;Afrotropic;;8.278956793;4.893804711;8.311600231;5.325513235;1629.83871
Lokoho;Madagascar;Afrotropic;;50.180138;-14.412915;49.71346474;-14.57881572;2229.685252
Great.Kwa.River;Nigeria;Afrotropic;;8.409513663;4.784615126;8.457940752;5.12948899;1852.408669
Meme;Cameroon;Afrotropic;;8.919783428;4.535549674;9.155749853;4.600500779;2011.510761
Lobe;Cameroon;Afrotropic;;9.877804705;2.880930292;10.14438934;2.636634431;2295.74931
Loubi;Republic of Congo;Afrotropic;;11.96223229;-4.959154221;12.29656066;-4.564350421;3554.490691
Mafa.River;Liberia;Afrotropic;;-11.37486934;6.823621855;-11.12840306;7.055830484;1353.019582
Kienke;Cameroon;Afrotropic;;9.895450702;2.947157379;10.28898566;2.860542523;1430.42849
Go;C¶te d'Ivoire;Afrotropic;;-5.087049965;5.200994042;-5.136493634;5.709263893;2229.47276
Lovu;South Africa;Afrotropic;;30.85778164;-30.10013488;30.50292052;-29.96709079;944.4670752
Nero;C¶te d'Ivoire;Afrotropic;;-6.909987736;4.658089313;-6.993361491;4.920563205;1275.62397
Kromrivier;South Africa;Afrotropic;;24.83541354;-34.15141267;24.4431588;-33.96861736;1012.905407
Ribi;Sierra Leone;Afrotropic;;-12.97621537;8.246520477;-12.78063119;8.352647956;987.1229931
Tabou;C¶te d'Ivoire;Afrotropic;;-7.375518987;4.403135002;-7.374715169;4.698991951;899.2695917
Dieprivier;South Africa;Afrotropic;;18.46720367;-33.82076369;18.70310178;-33.63178945;1487.666865
Kariegarivier;South Africa;Afrotropic;;26.68553666;-33.67636901;26.48615253;-33.45145092;669.1631165
Futana;Mozambique;Afrotropic;;32.78931143;-26.2342443;32.63193543;-26.82542981;2216.718317
Nahoon.River;South Africa;Afrotropic;;27.94170326;-32.98915182;27.69350011;-32.84383584;593.8094701
Brimay;C¶te d'Ivoire;Afrotropic;;-6.564828391;4.765927096;-6.44976825;5.008500961;1186.824805
Heuningnesrivier;South Africa;Afrotropic;;20.0600888;-34.75089198;19.91459294;-34.56440599;1840.750611
Assif.Tamraght;Morocco;Palearctic;;-9.695800715;30.5257147;-9.466271773;30.61398967;506.8211204
Rio.Ecuco;Equatorial Guinea;Afrotropic;;9.744195847;1.823286678;9.928474437;1.7913766;907.9950128
Mzumbe;South Africa;Afrotropic;;30.53974735;-30.6102826;30.30479446;-30.48608202;537.0378459
Ivoloina;Madagascar;Afrotropic;;49.407917;-18.064307;49.19629886;-17.97792268;717.3889084
Amansuri;Ghana;Afrotropic;;-2.522382986;4.953709028;-2.483588576;5.068442005;872.3676023
Mpambanyoni;South Africa;Afrotropic;;30.75011483;-30.29325405;30.44614102;-30.21781228;547.3665373
Kakum;Ghana;Afrotropic;;-1.312314541;5.094759933;-1.316914726;5.270190033;773.3177176
Coegarivier;South Africa;Afrotropic;;25.67147772;-33.80325941;25.5229401;-33.68409272;498.7532957
Dodowa;Ghana;Afrotropic;;0.072208381;5.673904417;3.76085E-05;5.854496485;709.7133299
Butre;Ghana;Afrotropic;;-1.935664435;4.796079121;-1.931635122;4.969760125;429.6964263
Eersterivier;South Africa;Afrotropic;;18.75846959;-34.08106015;18.7922238;-33.94578275;628.6189348
Klein.Brakrivier;South Africa;Afrotropic;;22.1749575;-34.08090259;22.04601137;-33.97491357;565.4628343
Rio.Ue;Equatorial Guinea;Afrotropic;;9.80005101;1.904156433;9.893190686;1.917799541;324.6174206
Karatararivier;South Africa;Afrotropic;;22.76586318;-34.01910973;22.77880496;-33.92067401;422.0712532
Oued.Kiss;Morocco;Palearctic;;-2.207446685;35.09389555;-2.130758392;34.95539259;368.9274707
Mwena;Kenya;Afrotropic;;39.27943922;-4.61120991;39.1366254;-4.467864052;832.0514371
Hartenbosrivier;South Africa;Afrotropic;;22.11954822;-34.12721353;21.98966173;-34.08662252;172.646764
Kabeljousrivier;South Africa;Afrotropic;;24.94261913;-33.98979777;24.84547264;-33.95037107;289.9723661
Allahein.River;Senegal;Afrotropic;;-16.76119153;13.07134188;-16.63884354;13.16835157;527.8300595
