1.Basin.Name;2.Type.Source;3.Reference
Aire;online.database;"Atlas of Living Australia; http://spatial.ala.org.au/webportal/ (consulted in 2013)"
Aki;book;Matsuura et al. 2000. Distribution of freshwater fishes in Japan. Supplement to the catalogue of the freshwater fish collection in the National Science Museum, Tokyo. National Science Museum, Tokyo
Akitio;online.database;"NIWA (extracted on septembre 2012); http://fwdb.niwa.co.nz"
Aksu;book;Geldiay R. & Balik S. 1996. Turkiye Tatlisu Baliklari. Ege Universitesi Su Urunleri Fakultesi Yayinlari No: 46. Ders Kitabi Dazini No:16. 532p.
Aksu;paper;Küçük F.R. & Ikiz R.. 2004. Antalya Körfezi'ne Dökülen Akarsularin Balik Faunasi. Su Ürünleri Dergisi, 21: 287-294.
Aksu.North;book;Geldiay R. & Balik S. 1996. Turkiye Tatlisu Baliklari. Ege Universitesi Su Urunleri Fakultesi Yayinlari No: 46. Ders Kitabi Dazini No:16. 532p.
Alabama;online.database;Benson, A.J. 2016. Micropterus henshalli. USGS Nonindigenous Aquatic Species Database, Gainesville, FL. https://nas.er.usgs.gov/queries/factsheet.aspx?SpeciesID=398 Revision Date: 5/16/2014
Alabama;book;Hocutt C.H. & Wiley E.O. (Eds). 1986. The Zoogeography of North American Freshwater Fishes. John Wiley and Sons, Inc., New York. 866 p.
Alabama;online.database;NatureServe. 2010. Digital Distribution Maps of the Freshwater Fishes in the Conterminous United States. Version 3.0. Arlington, VA. U.S.A. (http://www.natureserve.org/getData/fishMaps.jsp)
Alabama;paper;Warren M.L., Burr B.M., Walsh S.J., Bart H.L., Cashner R.C., Etnier D.A., Freeman B.J., Kuhajda B.R., Mayden R.L., Robison H.W., Ross S.T., & Starnes W.C.. 2000. Diversity, Distribution, and Conservation Status of the Native Freshwater Fishes of the South United States, Fisheries, 25:10, 7-31
Alafia;report;Florida Fish & Wildlife Conservation Commission, Non-Native Fish Research Laboratory, 801 NW 40th St., Boca Raton, FL 33431. November 2003.
Alafia;book;Hocutt C.H. & Wiley E.O. (Eds). 1986. The Zoogeography of North American Freshwater Fishes. John Wiley and Sons, Inc., New York. 866 p.
Alafia;online.database;NatureServe. 2010. Digital Distribution Maps of the Freshwater Fishes in the Conterminous United States. Version 3.0. Arlington, VA. U.S.A. (http://www.natureserve.org/getData/fishMaps.jsp)
Alafia;book;Pam L. Fuller, Leo G. Nico, and James D. Williams. 1999. Nonindigenous Fishes Introduced into Inland Waters of the United States. American fisheries society
Alafia;online.database;United States Geological Survey. 2016. Micropterus salmoides floridanus. USGS Nonindigenous Aquatic Species Database, Gainesville, FL. https://nas.er.usgs.gov/queries/factsheet.aspx?SpeciesID=402
Alagnak;report;Miller J.L.. 2003. Freshwater Fish Inventory of the Alagnak Watershed, Alagnak Wild River, Southwest Alaska Inventory and Monitoring Network. Alaska Inventory and Monitoring Program National Park Service Alaska Region. Katmai National Park and Preserve PO
Alara;paper;Küçük F.R. & Ikiz R.. 2004. Antalya Körfezi'ne Dökülen Akarsularin Balik Faunasi. Su Ürünleri Dergisi, 21: 287-294.
Alas;paper;Hadiaty 2005. The Biodiversity of Fish In Squaq Balimbing and Ketambe Gunung Leuser National Park, Sumatera. J. Biol. Indon. Vol. III, No. 9: 379-388 (2005)
Alas;paper;Lumbantobing 2010. Four New Species of the Rasbora trifasciata-Group (Teleostei: Cyprinidae) from Northwestern Sumatra, Indonesia. Copeia, 2010(4):644-670. 2010.
Alas;paper;Muchlisin & Siti Azizah 2009. Diversity and distribution of freshwater fishes in Aceh water, Northern-Sumatra, Indonesia. International Journal of Zoological Research 5:62-79
Alas;paper;Ng & Hadiaty 2005. Two new bagrid catfi shes (Teleostei: Bagridae) from the Alas River drainage, northern Sumatra. Ichthyol. Explor. Freshwaters, Vol. 16, No. 1, pp. 83-92
Alas;paper;Ng & Hadiaty 2008. Glyptothorax plectilis, a new species of hillstream catfish from northern Sumatra (Teleostei: Sisoridae). Proceedings of the Academy of Natural Sciences of Philadelphia, 157(1):137-147. 2008
Alaska.un.1;report;Miller J.L. & Markis J.. 2004. Freshwater Fish Inventory of Aniakchak National Monument and Preserve, Southwest Alaska Inventory and Monitoring Network. Katmai National Park and Preserve, Alaska, 55 p.
Alaska.un.2;report;Miller J.L. & Markis J.. 2004. Freshwater Fish Inventory of Aniakchak National Monument and Preserve, Southwest Alaska Inventory and Monitoring Network. Katmai National Park and Preserve, Alaska, 55 p.
Alazeja;book;Reshetnikov Y.S.. 2002. Atlas of Russian Freshwater Fishes. Moscow Nauka, Vol. I. ISBN: 5-02-006507-2.
Alazeja;book;Reshetnikov Y.S.. 2002. Atlas of Russian Freshwater Fishes. Moscow Nauka, Vol. II. ISBN: 5-02-006506-4.
Albany;book;Scott W.B. & Crossman E.J.. 1974. Poissons d'eau douce du Canada. Ministère de l'Environnement, Canada, 184: 1026 p.                           
Albegna;paper;Bianco P.G., Ketmaier V., 2001. Anthropogenic changes in the freshwater fish fauna of Italy, with reference to the central region and Barbus graellsii, a newly established alien species of Iberian origin. Journal of Fish Biology 59:190–208.
Albert.lake;online.database;NatureServe. 2010. Digital Distribution Maps of the Freshwater Fishes in the Conterminous United States. Version 3.0. Arlington, VA. U.S.A. (http://www.natureserve.org/getData/fishMaps.jsp)
Aldoma;book;Reshetnikov Y.S.. 2002. Atlas of Russian Freshwater Fishes. Moscow Nauka, Vol. I. ISBN: 5-02-006507-2.
Aldoma;book;Reshetnikov Y.S.. 2002. Atlas of Russian Freshwater Fishes. Moscow Nauka, Vol. II. ISBN: 5-02-006506-4.
Alemeda.creek;online.database;NatureServe. 2010. Digital Distribution Maps of the Freshwater Fishes in the Conterminous United States. Version 3.0. Arlington, VA. U.S.A. (http://www.natureserve.org/getData/fishMaps.jsp)
Alfios;paper;Economou et al. 2007. The freshwater ichthyofauna of Greece - an update based on a hydrographic basin survey. Mediterranean Marine Science, Volume 8/1, 2007, 91-166
Alfta;report;Guðbergsson G. (2011) Catch statistics for Icelandic rivers and lakes 2010. Institute of Freshwater Fisheries, report VMST/11044.
Aliakmon;report;ECONOMIDIS, P.S., 1991. Checklist of the freshwater fish of Greece (recent status of threat and protection). Bulletin of the Hellenic Society for the Protection of Nature, Special Publication, Athens.
