1.Basin.Name;2.Type.Source;3.Reference
Gambia;online.database;"Faunafri; http://www.poissons-afrique.ird.fr/drupal/faunafri (consulted in 2013)"
Gambia;report;Institut de Recherche pour le Développement (D. Paugy). 2004. UR 131 - Variabilité environnementale et stratégies biologiques des communautés aquatiques - Biodiversité des grands cours d'eau. M.N.H.N., Paris, France.
Gamtoos;online.database;"Faunafri; http://www.poissons-afrique.ird.fr/drupal/faunafri (consulted in 2013)"
Gamtoos;report;Impson N.D., Bills I.R. & Cambray J.A.. 2000. State of Biodiversity: Western Cape Province, South Africa Freshwater Fishes. Western Cape State of Biodiversity 2000, 20 p.
Gamtoos;paper;Teugels G.G., Guégan J.F. & Albaret J.J. (Eds). 1994. Biological diversity in African fresh- and brackish water fishes. Geographical overviews - Symposium Paradi. Annales du Museum royal d'Afrique Centrale, Zoologie, 275: 95-131. 
Ganges;paper;Ali M.Y., Salim G.M., Mannan M.A., Rahman M.M., Sabbir W. & Murshida A.. 2004. Fish Species Availability Observed in the Fish Landing Centers of Khulna District in Bangladesh. Journal of Biological Sciences, 4: 575-580.
Ganges;paper;Arunachalam M., Muralidharan M. & Sivakumar P.. 2007. Psilorhynchus amplicephalus, a new species from Balishwar river of Assam, India. Current Science, 92: 1352-1354.
Ganges;paper;Bhatt et al 2012. Elevational Gradients in Fish Diversity in the Himalaya: Water Discharge Is the Key Driver of Distribution Patterns. PlosOne September 2012 | Volume 7 | Issue 9 | e46237
Ganges;paper;Chandra KJ. 2009. AVAILABILITY OF FISH FAUNA IN SOME SELECTED DISTRICTS IN BANGLADESH. Bang. J. Anim. Sci. 2009, 38(1&2) : 151 – 163
Ganges;report;Devashish K., Dey S.C., Manabendra M., Boni A. L. & Lal S.. Preliminary survey of the fish genetic resources of the rivers in Barak drainage, Mizoram and Tripura. Lakes 2000, International Symposium on Restoration of Lakes and Wetlands. 27th to 29th November 2000, CSIC Auditorium, Indian Institute of Science, Bangalore.
Ganges;book;Jayaram K.C.. 2004. The freshwater fishes of the Indian Region. Narendra Publishing House, Delhi, 571 p. ISBN: 81-85375-54-2.
Ganges;paper;Johal 2005. Key to the management of the Western Himalayan Hillstreams in relation to fish species richness and diversity. Hydrobiologia (2005) 532: 225–232
Ganges;paper;Kar & Sen 2007. SYSTEMATIC LIST AND DISTRIBUTION OF FISHES IN MIZORAM, TRIPURA AND BARAK DRAINAGE OF NORTHEASTERN INDIA. ZOOS' PRINT JOURNAL 22(3): 2599-2607
Ganges;book;Karmakar & Das 2005. Endemic freshwater fishes of India. Zoological Survey of India. Occasional Paper N°230
Ganges;paper;Lipton AP. 1983. Fish fauna of Tripura. Matsya 9-10:110-118
Ganges;paper;Ng H.H. & Edds D.R.. 2005. Two new species of Pseudecheneis, rheophilic catfishes (Teleostei: Sisoridae) from Nepal. Zootaxa, 1047: 1-19.
Ganges;paper;Ng H.H.. 2003. A revision of the south Asian sisorid catfish genus Sisor (Teleostei: Siluriformes). Journal of Natural History, 37: 2871-2883.
Ganges;paper;Ng H.H.. 2005. Erethistoides sicula, a new catfish (Teleostei: Erethistidae) from India. Zootaxa, 1021: 1-12.
Ganges;paper;Ng H.H.. 2005. Two new species of Pseudolaguvia (Teleostei: Erethistidae) from Bangladesh. Zootaxa, 1044: 35-47.
Ganges;paper;Ng H.H.. 2006. The identity of Batasio tengana (Hamilton, 1822), with the description of two new species of Batasio from north-eastern India (Teleostei: Bagridae). Journal of Fish Biology, 68: 101-118.
Ganges;report;Payne A.I., Sinha R., Singh H.R. & Huq S.. 2004. A review of the Ganges basin: its fish and fisheries. Food and Agriculture Organization of the United Nations (FAO), MRC Fisheries Programme (FP), 229-252.  
Ganges;report;Petr T. & Swar D.B. (eds.). 2002. Cold water fisheries in the trans-Himalayan countries. FAO Fisheries Technical Paper. No. 431 Rome, FAO, 364 p. ISBN: 92-5-104807-X.
Ganges;report;Petr T. (ed). 1999. Fish and fisheries at higher altitudes: Asia. Food and Agriculture Organization of the United Nations, 385: 304 p. ISBN:  92-51043-09-4.
Ganges;paper;Sarkar et al 2012 Freshwater fish biodiversity in the River Ganga India changing pattern, threats and conservation perspectives. Rev Fish Biol Fisheries, 22:251–272
Ganges;book;Shrestha T.K. 2008. Ichthyology of Nepal. A study of fishes of the Himalayan waters. Hymalayan Ecosphere, Nepal
Ganges;report;Shrestha T.K.. Undated. Conservation and Management of Fishes in the Large Himalayan Rivers of Nepal. Central Department of Zoology: Tribhuvan University, 19 p.
Ganges;paper;Singh D. & Sharma R.. 1998. Biodiversity, ecological status and conservation priority of the fish of the River Alaknanda, a parent stream of the River Ganges (India). Aquatic Conservation: Marine and Freshwater Ecosystems, 8: 761-772.
Ganges;paper;Ziming et al 2006. Ichthyofauna ofM iddle and Lower Reach of the Dulong River. Journal of Xinyang Normal University, 19: 306-310
Gardner;online.database;"Atlas of Living Australia; http://spatial.ala.org.au/webportal/ (consulted in 2013)"
Gardner;report;Morgan D.L., Gill H.S. & Potter I.C.. 1998. Distribution, identification and biology of freshwater fishes in south-western Australia. Records of the Western Australian Museum Supplement, 56: 97 p.
Gardner.lake;online.database;"Atlas of Living Australia; http://spatial.ala.org.au/webportal/ (consulted in 2013)"
Garonne;book;Keith et al, 2011. Les poissons d'eau douce de France, MNHN Paris.
Garonne;book;Keith P. & Allardi J.. 2001. Atlas des poissons d'eau douce de France. Patrimoines Naturels, 47: 387 p.
Garonne;online.database;Onema - http://www.sandre.eaufrance.fr (consulted in 2012)
Gascoyne;online.database;"Atlas of Living Australia; http://spatial.ala.org.au/webportal/ (consulted in 2013)"
Gascoyne;paper;Morgan D. & Gill H.S.. 2004. Fish fauna in inland waters of the Pilbara (Indian Ocean) Drainage Division of Western Australia — evidence for three subprovinces. Zootaxa, 636: 1-43.
Gawler;online.database;"Atlas of Living Australia; http://spatial.ala.org.au/webportal/ (consulted in 2013)"
Gayabos;online.database;http://databasin.org/ or http://www.fundacionoga.org.ar/index.html or http://www.mnrj.ufrj.br/ (all sources consulted in 2013)
Gaz;book;Abdoli A. 2000. The Inland water fishes of Iran. Gorgan University
Geba;online.database;"Faunafri; http://www.poissons-afrique.ird.fr/drupal/faunafri (consulted in 2013)"
Geba;report;Institut de Recherche pour le Développement (D. Paugy). 2004. UR 131 - Variabilité environnementale et stratégies biologiques des communautés aquatiques - Biodiversité des grands cours d'eau. M.N.H.N., Paris, France.
Gediz;paper;Balik S. 1995. Freshwater fish in Anatolia, Turkey. Biological Conservation, 72:213-223
Gediz;book;Geldiay R. & Balik S. 1996. Turkiye Tatlisu Baliklari. Ege Universitesi Su Urunleri Fakultesi Yayinlari No: 46. Ders Kitabi Dazini No:16. 532p.
Geirlandsa;paper;Guðbergsson G. (2011) Catch statistics for Icelandic rivers and lakes 2010. Institute of Freshwater Fisheries, report VMST/11044.
Gellibrand;online.database;"Atlas of Living Australia; http://spatial.ala.org.au/webportal/ (consulted in 2013)"
Genale.Wenz;online.database;"Faunafri; http://www.poissons-afrique.ird.fr/drupal/faunafri (consulted in 2013)"
Genting;paper;Ng H.H., Tan H.H. & Lim K.P.K.. 1999. The inland fishes of Pulau Tioman, peninsular Malaysia. The Raffles Bulletin of Zoology, 6: 169-187.
George.Canada;book;Scott W.B. & Crossman E.J.. 1974. Poissons d'eau douce du Canada. Ministère de l'Environnement, Canada, 184: 1026 p.                           
George.lake;book;Daget J., Gosse J.P. & Thys van den Audenaerde  D.F.E. (eds). Check-list of the freshwater fishes of Africa (CLOFFA). Brussels, MRAC, Tervuren, and ORSTOM, Paris. Vol 1-4.
George.lake;online.database;"Faunafri; http://www.poissons-afrique.ird.fr/drupal/faunafri (consulted in 2013)"
George.lake;report;Institut de Recherche pour le Développement (D. Paugy). 2004. UR 131 - Variabilité environnementale et stratégies biologiques des communautés aquatiques - Biodiversité des grands cours d'eau. M.N.H.N., Paris, France.
George.Tasma;online.database;"Atlas of Living Australia; http://spatial.ala.org.au/webportal/ (consulted in 2013)"
Georges;online.database;"Atlas of Living Australia; http://spatial.ala.org.au/webportal/ (consulted in 2013)"
Georges;report;Harris J.H. & Gehrke P.C.. 1997. Fish and Rivers in Stress: the NSW Rivers Survey. NSW Fisheries Office of Conservation and the Cooperative Research Centre for Freshwater Ecology, Cronulla.
Ghaggar;paper;Johal 2005. Key to the management of the Western Himalayan Hillstreams in relation to fish species richness and diversity. Hydrobiologia (2005) 532: 225–232
Gharasu;book;Abdoli A. 2000. The Inland water fishes of Iran. Gorgan University
Giang;book;Serov et al. 2006. The freshwater fishes of Central Vietnam. Vietnam, KMK Scientific Press Ltd.
Giddy;online.database;"Atlas of Living Australia; http://spatial.ala.org.au/webportal/ (consulted in 2013)"
Gifford;book;Scott W.B. & Crossman E.J.. 1974. Poissons d'eau douce du Canada. Ministère de l'Environnement, Canada, 184: 1026 p.                           
Gin.Ganga;book;Pethiyagoda 1991 Freshwater fishes of Sri Lanka. The Wildlife Heritage Trust of Sri Lanka. Sri Lanka
Giraul;online.database;"Faunafri; http://www.poissons-afrique.ird.fr/drupal/faunafri (consulted in 2013)"
Girikula.Ara;book;Pethiyagoda 1991 Freshwater fishes of Sri Lanka. The Wildlife Heritage Trust of Sri Lanka. Sri Lanka
Glen;report;Maitland P.S.. 2004. Evaluating the ecological and conservation status of freshwater fish communities in the United Kingdom. Scottish Natural Heritage, Edinburgh, Commissioned Report No. 001, 88 p.
Glenelg;online.database;"Atlas of Living Australia; http://spatial.ala.org.au/webportal/ (consulted in 2013)"
Glenelg;report;Victorian Government Department of Primary Industries. 2004. A Guide to the Inland Angling Waters of Victoria. 5th edition. Department of Primary Industries, Victoria, Australia.
Glomma;paper;Hesthagen T. & Sandlund O.T.. 2004. Fish distribution in a mountain area in south-eastern Norway: human introductions overrule natural immigration. Hydrobiologia, 521: 49-59.
Glush;paper;Pietsch, T.W., K. Amaoka, D.E. Stevenson, E.L. MacDonald, B.K. Urbain and J.A. López. 2001. Freshwater fishes of the Kuril Islands and adjacent regions. Species Diversity, 6: 133-164.
Glyde;online.database;"Atlas of Living Australia; http://spatial.ala.org.au/webportal/ (consulted in 2013)"
Glyde;online.database;"Fish Atlas of North Australia; http://www.jcu.edu.au/archive/actfr_old_Projects/FishAtlas/Index.htm (consulted in 3013)"
Go;online.database;"Faunafri; http://www.poissons-afrique.ird.fr/drupal/faunafri (consulted in 2013)"
Goascoran;online.database;http://databasin.org/ or http://www.fundacionoga.org.ar/index.html or http://www.mnrj.ufrj.br/ (all sources consulted in 2013)
Goascoran;book;Martin M.. 1972. A biogeographic analysis of the freshwater fishes of Honduras. University of Southern California, 598 p.
Goascoran;paper;Matamoros et al. 2012. A delineation of Nuclear Middle America biogeographical provinces based on river basin faunistic similarities. Rev Fish Biol Fisheries (2012) 22:351–365
Gobi.lakes;report;Kottelat. 2006. Fishes of Mongolia. A check-list of the fishes known to occur in Mongolia with comments on systematics and nomenclature. The International Bank for Reconstruction and Development/THE WORLD BANK
Godavari;online.database;"Fishbase; www.fishbase.org (cunsulted in 2013)"
Godavari;paper;Heda 2009. Fish diversity studies of two rivers of the northeasternGodavari basin, India. Journal of Threatened Taxa| www.threatenedtaxa.org | October 2009 | 1(10): 514-518
Godavari;book;Karmakar & Das 2005. Endemic freshwater fishes of India. Zoological Survey of India. Occasional Paper N°230
Godavari;paper;Shinde et al. 2009. Fish Biodiversity of Pravara River at Pravara Sangam District Ahmednagar, (M.S.) India. World Journal of Zoology 4 (3): 176-179, 2009
Godbaza;paper;Pietsch, T.W., K. Amaoka, D.E. Stevenson, E.L. MacDonald, B.K. Urbain and J.A. López. 2001. Freshwater fishes of the Kuril Islands and adjacent regions. Species Diversity, 6: 133-164.
Gogol;book;Allen GR. 1991. Field guide to the freshwater fishes of New Guinea. Christiensen Research Institute. Publication No.9. Madang, Papua New Guinea
Gogol;online.database;"Atlas of Living Australia; http://spatial.ala.org.au/webportal/ (consulted in 2013)"
Gogol;paper;Parenti L.R. & Allen G.R.. 1991. Fishes of the Gogol River and coastal localities, Madang Province, Papua New Guinea. Ichthyological Exploration of Freshwaters, 1:307-320.
Gokase;book;Matsuura et al. 2000. Distribution of freshwater fishes in Japan. Supplement to the catalogue of the freshwater fish collection in the National Science Museum, Tokyo. National Science Museum, Tokyo
Goksu;book;Geldiay R. & Balik S. 1996. Turkiye Tatlisu Baliklari. Ege Universitesi Su Urunleri Fakultesi Yayinlari No: 46. Ders Kitabi Dazini No:16. 532p.
Golden.Stream;book;Greenfield D.W. & Thomerson J.E.. 1997. Fishes of the Continental Waters of Belize. University Press of Florida.
Goldsborough;report;Jeanes E.D. & Hilgert P.J.. 2001. Biological Monitoring Goldsborough Creek, Washington 2000 Spawning Survey. Prepared for U.S. Army Corps of Engineers, Seattle District, Washington. R2 Resource Consultants, Inc., 27 p.
Golo;book;Keith P. & Allardi J.. 2001. Atlas des poissons d'eau douce de France. Patrimoines Naturels, 47: 387 p.
Golok;PhD.Thesis;Zakaria Ismail, 1989. Systematics, zoogeography and conservation of the freshwater fishes of peninsular Malaysia. PhD. Thesis. Colorado State University, Fort Collins, Colorado
Golygina;book;Reshetnikov Y.S.. 2002. Atlas of Russian Freshwater Fishes. Moscow Nauka, Vol. I. ISBN: 5-02-006507-2.
Golygina;book;Reshetnikov Y.S.. 2002. Atlas of Russian Freshwater Fishes. Moscow Nauka, Vol. II. ISBN: 5-02-006506-4.
Gombak;paper;Lee & Ng 1994. The systematics and ecology of snakeheads (Pisces: Channidae) in Peninsular Malaysia and Singapore. Hydrobiologia 285: 59-74
Gombak;book;Moshin & Ambak 1983. Freshwater fishes of peninsular Malaysia. Penerbit Universiti Pertanian Malaysia
Gombak;paper;Tan & Tan 1996. Redescription of the Malayan fighthing fish Betta pugnax and description of Betta pulchra, new species from peninsular Malaysia. The Raffles Bulletin of Zoology, 44:419-434
Gombak;PhD.Thesis;Zakaria Ismail, 1989. Systematics, zoogeography and conservation of the freshwater fishes of peninsular Malaysia. PhD. Thesis. Colorado State University, Fort Collins, Colorado
Gombak;paper;Zakaria-Ismail M.. 1994. Zoogeography and biodiversity of the freshwater fishes of Southeast Asia. Hydrobiologia, 285: 41-48.
Gonen;paper;Balik S. 1995. Freshwater fish in Anatolia, Turkey. Biological Conservation, 72:213-223
Gonen;book;Geldiay R. & Balik S. 1996. Turkiye Tatlisu Baliklari. Ege Universitesi Su Urunleri Fakultesi Yayinlari No: 46. Ders Kitabi Dazini No:16. 532p.
Gonen;paper;Ilhan A., Sari H.M. & Ustaoglu M.R. 2014. GÖNEN ÇAYI (BALIKES?R) BALIK FAUNASI. Journal of Fisheries Sciences, 8:194-198
Gonokawa;book;Matsuura et al. 2000. Distribution of freshwater fishes in Japan. Supplement to the catalogue of the freshwater fish collection in the National Science Museum, Tokyo. National Science Museum, Tokyo
Goomadeer;online.database;"Atlas of Living Australia; http://spatial.ala.org.au/webportal/ (consulted in 2013)"
Goomadeer;online.database;"Fish Atlas of North Australia; http://www.jcu.edu.au/archive/actfr_old_Projects/FishAtlas/Index.htm (consulted in 3013)"
Gordon;online.database;"Atlas of Living Australia; http://spatial.ala.org.au/webportal/ (consulted in 2013)"
Gordon;online.database;Inland Fisheries Service, Government of Tasmania. 2000. Moonah, Tasmania, Australia. URL www.ifs.tas.gov.au/natives.html (consulted in 2007)
Gordon;book;Williams W.D. (Ed). 1974. Biogeography and Ecology in Tasmania. Junk W. b.v. Publishers, The Hague, 498 p. ISBN: 90-6193-077-4.
Gorgan;book;Abdoli A. 2000. The Inland water fishes of Iran. Gorgan University
Gorgan;online.database;www.briancoad.com (consulted in 2007)
Goryeo.ji;book;Choi K.C., Jeon S.R., Kim I.S. & Son Y.M.. 1990. Colored Illustrations of the Freshwater Fish of Korea. Hyangmoon Publishing Co., Seoul. 277 p.
Gosse;online.database;"Atlas of Living Australia; http://spatial.ala.org.au/webportal/ (consulted in 2013)"
Gota.alv;online.database;Swedish Electrofishing RegiSter - SERS. Swedish University of Agricultural Sciences, Department of Aquatic Resources. http://www.slu.se/elfiskeregistret
Goukou;online.database;"Faunafri; http://www.poissons-afrique.ird.fr/drupal/faunafri (consulted in 2013)"
Goukou;report;Impson N.D., Bills I.R. & Cambray J.A.. 2000. State of Biodiversity: Western Cape Province, South Africa Freshwater Fishes. Western Cape State of Biodiversity 2000, 20 p.
Gourits;online.database;"Faunafri; http://www.poissons-afrique.ird.fr/drupal/faunafri (consulted in 2013)"
Gourits;report;Impson N.D., Bills I.R. & Cambray J.A.. 2000. State of Biodiversity: Western Cape Province, South Africa Freshwater Fishes. Western Cape State of Biodiversity 2000, 20 p.
Grand.Pabos;report;Société de la faune et des parcs. Direction de l'aménagement de la faune de la Gaspésie-Îles-de-la-Madeleine. Québec, Canada.
Grande.Argentina;paper;Baigun C. & Ferriz R.. 2003. Distribution patterns of native freshwater fishes in Patagonia (Argentina). Organisms Diversity & Evolution, 3: 151-159.
Grande.Argentina;online.database;http://databasin.org/ or http://www.fundacionoga.org.ar/index.html or http://www.mnrj.ufrj.br/ (all sources consulted in 2013)
Grande.Argentina;paper;Pascual M., Macchi P., Urbanski J., Marcos F., Riva Rossi C., Novara M. & Dell’Arciprete P.. 2002. Evaluating potential effects of exotic freshwater fish from incomplete species presence–absence data. Biological Invasions: 4: 101-113.
Grande.Argentina.2;online.database;http://databasin.org/ or http://www.fundacionoga.org.ar/index.html or http://www.mnrj.ufrj.br/ (all sources consulted in 2013)
Grande.Belize;book;Greenfield D.W. & Thomerson J.E.. 1997. Fishes of the Continental Waters of Belize. University Press of Florida.
Grande.de.San.Miguel;online.database;http://databasin.org/ or http://www.fundacionoga.org.ar/index.html or http://www.mnrj.ufrj.br/ (all sources consulted in 2013)
Grande.Mexico.Pacifico;online.database;http://databasin.org/ or http://www.fundacionoga.org.ar/index.html or http://www.mnrj.ufrj.br/ (all sources consulted in 2013)
Grande.Mexico.Pacifico;book;Rush-Miller R.. 2005. Freshwater Fishes of México. The University of Chicago Press, 490 p. ISBN 0-226-52604-6.
Grande.Panama;online.database;http://databasin.org/ or http://www.fundacionoga.org.ar/index.html or http://www.mnrj.ufrj.br/ (all sources consulted in 2013)
Grande.Panama;paper;Smith S.A., Bell G. & Bermingham E.. 2004. Cross-Cordillera exchange mediated by the Panama Canal increased the species richness of local freshwater fish assemblages. Proceedings of the Royal Society, 45: 135-145.
Grande.Panama.2;online.database;http://databasin.org/ or http://www.fundacionoga.org.ar/index.html or http://www.mnrj.ufrj.br/ (all sources consulted in 2013)
Grande.Trinidad;book;Boeseman M. 1960. The freshwater fishes of teh island of Trinidad. Studies on the Fauna of Curaçao and other Caribbean islands: No.48
Grande.Trinidad;PhD.Thesis;Phillip D.A.T. 1998. Biodiversity of freshwater fishes of Trinidad and Tobago, West Indies. PhD thesis. University of St Andrews, UK.
Grande.Ubatuba;online.database;http://databasin.org/ or http://www.fundacionoga.org.ar/index.html or http://www.mnrj.ufrj.br/ (all sources consulted in 2013)
Grande.USA;paper;Contreras-Balderas S., Edwards R.J., Lourdes Lozano-Vilano M. & García-Ramírez M.E.. 2002. Fish biodiversity changes in the Lower Rio Grande/Rio Bravo, 1953–1996. Reviews in Fish Biology and Fisheries, 12: 219-240.
Grande.USA;book;De la Maza-Benignos M. & Vela-Valladores L..2009. in De la Maza-Benignos M. (Ed.). Los Peces del Río Conchos. [Apéndice D] p. 185.
Grande.USA;paper;Edwards R.J., Garrett G.P. & Marsh-Matthews E.. 2002. Conservation and status of the fish communities inhabiting the Río Conchos basin and middle Rio Grande, México and U.S.A.. Fish Biology and Fisheries, 12: 119-132.
Grande.USA;online.database;http://databasin.org/ or http://www.fundacionoga.org.ar/index.html or http://www.mnrj.ufrj.br/ (all sources consulted in 2013)
Grande.USA;report;Lieb C.S.. 2000. Annotated Checklist of the Fishes of the Rio Grande Drainage, Dona Ana, El Paso, and Hudspeth Counties. Non-refereed Electronic Publication of the Centennial Museum, University of Texas at El Paso. Number 2, 10 p.
Grande.USA;paper;Meyer M.K., Schories S. & Schartl M..2010. Description of Gambusia zarskei sp. n. – a new poeciliid fish from the upper Rio Conchos system, Chihuahua, Mexico (Teleostei: Cyprinodontiformes: Poeciliidae). Vertebrate Zoology, 60(1): 11-18.
Grande.USA;online.database;NatureServe. 2010. Digital Distribution Maps of the Freshwater Fishes in the Conterminous United States. Version 3.0. Arlington, VA. U.S.A. (http://www.natureserve.org/getData/fishMaps.jsp)
Grande.USA;book;Pam L. Fuller, Leo G. Nico, and James D. Williams. 1999. Nonindigenous Fishes Introduced into Inland Waters of the United States. American fisheries society
Grande.USA;report;Propst D.L.. 1999. Threatened and endangered fishes of New Mexico. Technical Report No. 1. New Mexico Department of Game and Fish, Santa Fe, NM. 84 p.
Grande.USA;book;Rush-Miller R.. 2005. Freshwater Fishes of México. The University of Chicago Press, 490 p. ISBN 0-226-52604-6.
Grande.USA;book;Thomas C., Bonner T.H. & Whiteside B.G.. 2007. Freshwater Fishes of Texas. Texas A&M University Press. 220 p.
Gravatai;online.database;http://databasin.org/ or http://www.fundacionoga.org.ar/index.html or http://www.mnrj.ufrj.br/ (all sources consulted in 2013)
Great.Fish.River;online.database;"Faunafri; http://www.poissons-afrique.ird.fr/drupal/faunafri (consulted in 2013)"
Great.Forester;online.database;"Atlas of Living Australia; http://spatial.ala.org.au/webportal/ (consulted in 2013)"
Great.Kei;online.database;"Faunafri; http://www.poissons-afrique.ird.fr/drupal/faunafri (consulted in 2013)"
Great.Kwa.River;online.database;"Faunafri; http://www.poissons-afrique.ird.fr/drupal/faunafri (consulted in 2013)"
Great.Lakes.Mongolia;report;Kottelat. 2006. Fishes of Mongolia. A check-list of the fishes known to occur in Mongolia with comments on systematics and nomenclature. The International Bank for Reconstruction and Development/THE WORLD BANK
Great.Musselroe;online.database;"Atlas of Living Australia; http://spatial.ala.org.au/webportal/ (consulted in 2013)"
Great.Spectacle.lake;online.database;"Atlas of Living Australia; http://spatial.ala.org.au/webportal/ (consulted in 2013)"
Green;online.database;NatureServe. 2010. Digital Distribution Maps of the Freshwater Fishes in the Conterminous United States. Version 3.0. Arlington, VA. U.S.A. (http://www.natureserve.org/getData/fishMaps.jsp)
Greenough;online.database;"Atlas of Living Australia; http://spatial.ala.org.au/webportal/ (consulted in 2013)"
Greenough;paper;Morgan D. & Gill H.S.. 2004. Fish fauna in inland waters of the Pilbara (Indian Ocean) Drainage Division of Western Australia — evidence for three subprovinces. Zootaxa, 636: 1-43.
Greens.Bayou;online.database;NatureServe. 2010. Digital Distribution Maps of the Freshwater Fishes in the Conterminous United States. Version 3.0. Arlington, VA. U.S.A. (http://www.natureserve.org/getData/fishMaps.jsp)
Gregory;online.database;"Atlas of Living Australia; http://spatial.ala.org.au/webportal/ (consulted in 2013)"
Gregory;report;Burnett Water Pty Ltd. 2003. Burnett River dam - Environmental impact statement. Burnett Water Pty Ltd, Australia.
Grey;book;McDowall R.M.. 1990. New Zealand freshwater fishes: a natural history and guide. Heinemann Reed, Auckland. 553 p.
Grey;online.database;"NIWA (extracted on septembre 2012); http://fwdb.niwa.co.nz"
Griffiths.Rivulet;online.database;"Atlas of Living Australia; http://spatial.ala.org.au/webportal/ (consulted in 2013)"
Grimsa;paper;Guðbergsson G. (2011) Catch statistics for Icelandic rivers and lakes 2010. Institute of Freshwater Fisheries, report VMST/11044.
Groot.Brakrivier;online.database;"Faunafri; http://www.poissons-afrique.ird.fr/drupal/faunafri (consulted in 2013)"
Guacimal;book;Bussing W.A.. 1998. Freshwater fishes of Costa Rica. Revista de Biologia Tropical, 46: 1-468.
Guacimal;online.database;http://databasin.org/ or http://www.fundacionoga.org.ar/index.html or http://www.mnrj.ufrj.br/ (all sources consulted in 2013)
Guadalete;book;Doadrio I (2001) Atlas y Libro Rojo de los Peces Continentales de Espana. Ministerio de Medio Ambiente: Madrid.
Guadalmesi;paper;Clavero M., Blanco-Garrido F. & Prenda J.. 2005. Fish–habitat relationships and ?sh conservation in small coastal streams in southern Spain. Aquatic Conservation: Marine and Freshwater Ecosystems, 15: 415-426.
Guadalquivir;paper;Blanco J.L., Hrbek T. & Doadrio I.. 2006. A new species of the genus Aphanius (Nardo, 1832) (Actinopterygii, Cyprinodontidae) from Algeria. Zootaxa, 1158: 39-53.
Guadalquivir;book;Doadrio I (2001) Atlas y Libro Rojo de los Peces Continentales de Espana. Ministerio de Medio Ambiente: Madrid.
Guadalquivir;paper;Elvira B.. 1995. Native and exotic freshwater fishes in Spanish river basins. Freshwater Biology, 33: 103-108.
Guadalupe;online.database;NatureServe. 2010. Digital Distribution Maps of the Freshwater Fishes in the Conterminous United States. Version 3.0. Arlington, VA. U.S.A. (http://www.natureserve.org/getData/fishMaps.jsp)
Guadalupe;book;Pam L. Fuller, Leo G. Nico, and James D. Williams. 1999. Nonindigenous Fishes Introduced into Inland Waters of the United States. American fisheries society
Guadalupe;book;Thomas C., Bonner T.H. & Whiteside B.G.. 2007. Freshwater Fishes of Texas. Texas A&M University Press. 220 p.
Guadiana;paper;Collares-pereira M.J., Cowx I.G., Ribero F., Rodrigues J.A. & Rogado L.. 2000. Threats imposed by water resource development schemes on the conservation of endangered species in the Guadiana River Basin in the Portugal. Fisheries Management and Ecology, 7:167-178
Guadiana;book;Doadrio I (2001) Atlas y Libro Rojo de los Peces Continentales de Espana. Ministerio de Medio Ambiente: Madrid.
Guadiana;paper;Elvira B.. 1995. Native and exotic freshwater fishes in Spanish river basins. Freshwater Biology, 33: 103-108.
Guadiana;paper;Pérez-Bote J.L., Roso R., Pula H.J., Díaz F. & López M.T.. 2004. Primeras citas de la lucioperca, Sander (= Stizostedion) lucioperca (Linnaeus, 1758) y del alburno, Alburnus alburnus (Linnaeus,1758) en las cuencas extremeñas de los ríos Tajo y Guadiana, SO de la Peninsula Iberica. Anales de Biología 26: 93-100
Guaiba;online.database;http://databasin.org/ or http://www.fundacionoga.org.ar/index.html or http://www.mnrj.ufrj.br/ (all sources consulted in 2013)
Gualala;report;Higgins P.T.. 1997. Gualala River Watershed Literature Search and Assimilation. Funded by the Coastal Conservancy under contract to Redwood Coast Land Conservancy. Gualala, CA. 59 p.
Gualala;online.database;NatureServe. 2010. Digital Distribution Maps of the Freshwater Fishes in the Conterminous United States. Version 3.0. Arlington, VA. U.S.A. (http://www.natureserve.org/getData/fishMaps.jsp)
Guanipa;online.database;http://databasin.org/ or http://www.fundacionoga.org.ar/index.html or http://www.mnrj.ufrj.br/ (all sources consulted in 2013)
Guanipa;paper;Lasso CA, Provenzano F, Lasso-Alcala OM & Marcano A. 2010. Ictiofauna dulceacuicola y estuarina de la cuenca del golfo de Paria, Venezuela: composicion y relaciones biogeograficas con la cuenca del Orinoco. Biota Colombiana 11:53-73
Guapo;unpub.data;"Carlos Lasso (Instituto Humboldt; Bogota), unpublished data"
Guapo;online.database;http://databasin.org/ or http://www.fundacionoga.org.ar/index.html or http://www.mnrj.ufrj.br/ (all sources consulted in 2013)
Guapo.Trinidad;book;Boeseman M. 1960. The freshwater fishes of teh island of Trinidad. Studies on the Fauna of Curaçao and other Caribbean islands: No.48
Guapo.Trinidad;online.database;http://databasin.org/ or http://www.fundacionoga.org.ar/index.html or http://www.mnrj.ufrj.br/ (all sources consulted in 2013)
Guapo.Trinidad;PhD.Thesis;Phillip D.A.T. 1998. Biodiversity of freshwater fishes of Trinidad and Tobago, West Indies. PhD thesis. University of St Andrews, UK.
Guaracara;PhD.Thesis;Phillip D.A.T. 1998. Biodiversity of freshwater fishes of Trinidad and Tobago, West Indies. PhD thesis. University of St Andrews, UK.
Guarapari;online.database;http://databasin.org/ or http://www.fundacionoga.org.ar/index.html or http://www.mnrj.ufrj.br/ (all sources consulted in 2013)
Guarapari;paper;Sarmento-Soares & Martins Pinheiro. 2012. A fauna de peixes nas bacias do sudeste do Espírito Santo, Brasil. Sitientibus série Ciências Biológicas 12:1-25
